depth,nodes,branching_factor,pruned_branches
0,1,0,0
1,1,1,0
2,1,1,0
3,1,1,0
4,1,1,0
5,2,2,0
6,2,1,0
7,4,2,0
8,4,1,0
9,6,1.5,0
10,6,1,0
11,8,1.33333,0
12,10,1.25,0
13,14,1.4,0
14,18,1.28571,0
15,24,1.33333,0
16,29,1.20833,0
17,36,1.24138,0
18,44,1.22222,0
19,58,1.31818,0
20,72,1.24138,0
21,91,1.26389,0
22,113,1.24176,0
23,143,1.26549,0
24,179,1.25175,0
25,227,1.26816,0
26,287,1.26432,0
27,366,1.27526,0
28,460,1.25683,0
29,578,1.25652,0
30,732,1.26644,0
31,926,1.26503,0
32,1174,1.26782,0
33,1489,1.26831,0
34,1879,1.26192,0
35,2365,1.25865,0
36,2988,1.26342,0
37,3780,1.26506,0
38,4788,1.26667,0
39,6049,1.26337,0
40,7628,1.26103,0
41,9635,1.26311,0
42,12190,1.26518,0
43,15409,1.26407,0
44,19452,1.26238,0
45,24561,1.26265,0
46,31025,1.26318,0
47,39229,1.26443,0
48,49580,1.26386,0
49,62680,1.26422,0
50,79255,1.26444,0
51,100144,1.26357,0
52,126542,1.2636,0
53,159930,1.26385,0
54,202085,1.26358,0
55,255455,1.2641,0
56,322869,1.2639,0
57,408002,1.26368,0
58,515542,1.26358,0
59,651407,1.26354,0
60,823238,1.26378,0
61,1040490,1.2639,0
62,1315036,1.26386,0
63,1661989,1.26384,0
64,2100225,1.26368,1
65,2654292,1.26381,0
66,3354457,1.26379,0
67,4239003,1.26369,30
68,5356978,1.26374,0
69,6769828,1.26374,0
70,8555281,1.26374,320
